SKU,Produto,Qtd Vendida,Data,Bairro,Preço Unitário,Nome,Sobrenome,Gênero
HL1918,Ostras,20,2020-01-01,Jardim América,"R$ 70,00",Wilson,Arruda,M
HL7348,Camarão,25,2020-01-01,Jardim das Oliveiras,"R$ 60,00",Anna,Silva,F
HL1148,Mexilhões,10,2020-01-01,Montese,"R$ 20,00",Natalia,Oliveira,F
HL8851,Ostras,10,2020-01-01,Prefeito José Walter,"R$ 70,00",Caio,Vianna,M
HL9962,Mexilhões,5,2020-01-01,Olavo Oliveira,"R$ 20,00",Maria,Ribeiro,F
HL9962,Peixes,5,2020-01-01,Floresta,"R$ 15,00",Luiz,Procaci,M
HL1918,Ostras,25,2020-01-01,João XXIII,"R$ 70,00",Pedro,Pereira,M
HL1918,Camarão,20,2020-01-01,Parque Dois Irmãos,"R$ 28,00",Juan,Rodrigues,M
HL4379,Mexilhões,15,2020-01-01,Benfica,"R$ 20,00",Amanda,Rodrigues,F
HL1918,Mexilhões,25,2020-01-01,Dionisio Torres,"R$ 20,00",Guilherme,Guimarães,M
HL1148,Mexilhões,15,2020-01-01,Vila Velha,"R$ 20,00",João,Nóbrega,M
HL4379,Peixes,10,2020-01-01,Cidade dos Funcionários,"R$ 15,00",Marina,Souza,F
HL7348,Camarão,25,2020-01-01,Rodolfo Teófilo,"R$ 60,00",Audir,Silva,M
HL8851,Camarão,10,2020-01-01,Autran Nunes,"R$ 28,00",Felipe,Coelho,M
HL1918,Mexilhões,20,2020-01-01,Sabiaguaba,"R$ 20,00",Nathan,Bôas,M
HL1918,Polvo,10,2020-01-01,Mondubim,"R$ 55,00",Silvio,Santos,M
HL1148,Camarão,20,2020-01-01,Siqueira,"R$ 60,00",Pedro,Wajnsztok,M
HL1918,Mexilhões,25,2020-01-01,Conjunto Ceará,"R$ 20,00",Pedro,Rangel,M
HL4379,Mexilhões,25,2020-01-01,Boa Vista,"R$ 20,00",Julie,Lopes,F
HL7348,Camarão,15,2020-01-01,Jangurussu,"R$ 28,00",Marina,Araujo,F
HL1918,Camarão,10,2020-01-01,Ancuri,"R$ 28,00",Carlos,Silveira,M
HL1918,Polvo,5,2020-01-01,Sabiaguaba,"R$ 55,00",Lucas,Delgado,M
HL1918,Camarão,25,2020-01-01,Henrique Jorge,"R$ 60,00",Michelle,Penteado,F
HL7348,Camarão,5,2020-01-02,Vila Velha,"R$ 28,00",Wilson,Thoni,M
HL8851,Ostras,25,2020-01-02,Barra do Ceará,"R$ 70,00",Luiz,Gouvêa,M
HL7348,Polvo,10,2020-01-02,Passaré,"R$ 55,00",Camilla,Rodrigues,F
HL2714,Ostras,20,2020-01-02,Pici,"R$ 70,00",Raphael,Roberto,M
HL4379,Camarão,5,2020-01-02,Antônio Diogo,"R$ 28,00",Mariana,Alcoforado,F
HL1918,Mexilhões,20,2020-01-02,Mondubim,"R$ 20,00",Alberto,Marchesi,M
HL8851,Carangueijo,15,2020-01-02,Granja Portugal,"R$ 45,00",Leandro,Netto,M
HL8851,Mexilhões,10,2020-01-02,São Bento,"R$ 20,00",Bruno,Portela,M
HL4379,Camarão,5,2020-01-02,Vicente Pinzon,"R$ 28,00",Maria,Portillo,F
HL4379,Carangueijo,20,2020-01-02,Itaperi,"R$ 45,00",Victor,Johnson,M
HL7348,Ostras,15,2020-01-02,Barroso,"R$ 70,00",Lucas,Jordao,M
HL1918,Ostras,10,2020-01-02,Lagoa Redonda,"R$ 70,00",Roberta,Rodrigues,F
HL9962,Camarão,10,2020-01-02,Parque Iracema,"R$ 60,00",Marina,Marinho,F
HL7348,Ostras,25,2020-01-02,Itaoca,"R$ 70,00",Sthefeson,Lima,M
HL1918,Camarão,20,2020-01-02,Barroso,"R$ 28,00",Gabriel,Mesquita,M
HL4379,Mexilhões,5,2020-01-02,Barra do Ceará,"R$ 20,00",Pedro,Vogel,M
HL7348,Polvo,5,2020-01-02,Bom Jardim,"R$ 55,00",Alon,Filho,M
HL7348,Ostras,5,2020-01-02,Henrique Jorge,"R$ 70,00",Thales,Ribeiro,M
HL7348,Camarão,20,2020-01-02,Pedras,"R$ 60,00",Isabelle,Souza,F
HL1918,Camarão,15,2020-01-02,Henrique Jorge,"R$ 28,00",Letícia,Costa,F
HL9962,Carangueijo,10,2020-01-02,Siqueira,"R$ 45,00",Paula,Aragão,F
HL9962,Peixes,25,2020-01-02,Centro,"R$ 15,00",Giuseppe,Bhering,M
HL9962,Camarão,10,2020-01-02,Centro,"R$ 60,00",Eduardo,Assis,M
HL8851,Mexilhões,5,2020-01-02,Ancuri,"R$ 20,00",Joao,Forte,M
HL1918,Camarão,15,2020-01-02,Prefeito José Walter,"R$ 60,00",Lucas,Hollander,M
HL7348,Camarão,25,2020-01-02,Parque Dois Irmãos,"R$ 28,00",Fernanda,Cozendey,F
HL9962,Carangueijo,5,2020-01-02,Vicente Pinzon,"R$ 45,00",Caio,Fanara,M
HL2714,Camarão,5,2020-01-03,Parangaba,"R$ 28,00",Carlos,Sad,M
HL7348,Polvo,15,2020-01-03,Vicente Pinzon,"R$ 55,00",Lucas,Teraoka,M
HL4379,Polvo,5,2020-01-03,Lagoa Redonda,"R$ 55,00",Brenno,Gabriel,M
HL7348,Polvo,10,2020-01-03,Barroso,"R$ 55,00",Guilherme,Rodrigues,M
HL4379,Camarão,15,2020-01-03,Jóquei Clube,"R$ 60,00",Maurício,Correa,M
HL8851,Mexilhões,20,2020-01-03,Praia de Iracema,"R$ 20,00",Thayane,Souza,F
HL2714,Polvo,5,2020-01-03,João XXIII,"R$ 55,00",Maria,Rodrigues,F
HL4379,Camarão,10,2020-01-03,Novo Mondubim,"R$ 28,00",Lucas,Aragão,M
HL9962,Carangueijo,10,2020-01-03,Aldeota,"R$ 45,00",Debora,Dalforne,F
HL4379,Carangueijo,20,2020-01-03,Meireles,"R$ 45,00",Pedro,Moraes,M
HL1148,Camarão,25,2020-01-03,Barra do Ceará,"R$ 28,00",Débora,Lopes,F
HL9962,Mexilhões,5,2020-01-03,Vicente Pinzon,"R$ 20,00",Bernardo,Assunção,M
HL4379,Camarão,25,2020-01-03,Jóquei Clube,"R$ 60,00",Daniel,Antunes,M
HL1918,Ostras,15,2020-01-03,Passaré,"R$ 70,00",Isabelle,Ferreira,F
HL4379,Camarão,20,2020-01-03,Serrinha,"R$ 60,00",Maria,Ramos,F
HL9962,Camarão,5,2020-01-03,Patriolino Ribeiro,"R$ 60,00",João,Teraoka,M
HL4379,Carangueijo,20,2020-01-03,Cocó,"R$ 45,00",Ruan,Oliveira,M
HL7348,Peixes,5,2020-01-03,Lagoa Redonda,"R$ 15,00",Raíssa,Junior,F
HL8851,Carangueijo,20,2020-01-03,Barroso,"R$ 45,00",Samara,Silva,F
HL8851,Camarão,25,2020-01-03,Paupina,"R$ 60,00",Julia,Cardoso,F
HL4379,Mexilhões,25,2020-01-03,Mondubim,"R$ 20,00",Amanda,Accioly,F
HL1148,Mexilhões,25,2020-01-03,Vila Velha,"R$ 20,00",Igor,Michetti,M
HL1918,Peixes,20,2020-01-03,Bonsucesso,"R$ 15,00",Natalia,Figueiredo,F
HL1918,Ostras,25,2020-01-03,Mondubim,"R$ 70,00",Luíza,Silva,F
HL1148,Ostras,15,2020-01-03,Fátima,"R$ 70,00",Hércules,Borges,M
HL4379,Camarão,20,2020-01-03,Álvaro Weyne,"R$ 60,00",Marcela,Rodrigues,F
HL1148,Camarão,5,2020-01-03,Itaperi,"R$ 60,00",Roberta,Santos,F
HL1918,Mexilhões,10,2020-01-03,Vicente Pinzon,"R$ 20,00",Henrique,Novak,M
HL2714,Camarão,15,2020-01-03,Lagoa Redonda,"R$ 60,00",Matheus,Huon,M
HL2714,Mexilhões,5,2020-01-03,Parangaba,"R$ 20,00",Vanessa,Aragão,F
HL4379,Carangueijo,5,2020-01-03,Vila União,"R$ 45,00",Hanna,Vieira,F
HL8851,Peixes,10,2020-01-03,Granja Lisboa,"R$ 15,00",Mariana,Barreira,F
HL4379,Peixes,25,2020-01-03,Boa Vista,"R$ 15,00",João,Assis,M
HL1918,Camarão,10,2020-01-03,São Gerardo,"R$ 60,00",Eduardo,Salomão,M
HL8851,Polvo,10,2020-01-03,Damas,"R$ 55,00",Izabel,Rosa,F
HL8851,Camarão,15,2020-01-04,Montese,"R$ 60,00",Maria,Freire,F
HL9962,Camarão,10,2020-01-04,Boa Vista,"R$ 28,00",Paula,Rodrigues,F
HL1918,Camarão,5,2020-01-04,Rodolfo Teófilo,"R$ 60,00",Ana,Rodrigues,F
HL4379,Carangueijo,25,2020-01-04,Manoel Dias Branco,"R$ 45,00",Leonardo,Ferreira,M
HL1918,Camarão,5,2020-01-04,Bonsucesso,"R$ 60,00",Eduardo,Miranda,M
